i,j,sim_MiniLM,sim_DistilRoBERTa,sim_MPNet
0,1,0.32026246190071106,0.3582499027252197,0.3347506523132324
0,2,0.4610285758972168,0.4569230079650879,0.40602338314056396
0,3,0.6195532083511353,0.567601203918457,0.6509114503860474
0,4,0.5467656850814819,0.5467623472213745,0.46518397331237793
0,5,0.19013702869415283,0.20993433892726898,0.19454380869865417
0,6,0.49711886048316956,0.47883450984954834,0.3301680088043213
0,7,0.5507868528366089,0.5479469299316406,0.48488813638687134
0,8,0.41969192028045654,0.5016460418701172,0.42657291889190674
0,9,0.13393139839172363,0.31400907039642334,0.13623516261577606
0,10,0.28889569640159607,0.3629458248615265,0.3503112196922302
1,2,0.23269912600517273,0.2961854636669159,0.2515457272529602
1,3,0.3739829957485199,0.37442779541015625,0.40346381068229675
1,4,0.2580680847167969,0.4041801989078522,0.32105135917663574
1,5,0.1809455305337906,0.15010306239128113,0.286092609167099
1,6,0.3935679793357849,0.34206950664520264,0.27112042903900146
1,7,0.49638891220092773,0.5912274122238159,0.5298575162887573
1,8,0.11179710924625397,0.3185439705848694,0.12384282052516937
1,9,0.27554750442504883,0.33269137144088745,0.1742354929447174
1,10,0.4363996386528015,0.4487685263156891,0.4542180299758911
2,3,0.2812548875808716,0.2939950227737427,0.31777501106262207
2,4,0.2951917350292206,0.33752042055130005,0.24552732706069946
2,5,0.1273011416196823,0.033303745090961456,0.10385322570800781
2,6,0.2654583752155304,0.22354766726493835,0.15375033020973206
2,7,0.3018263578414917,0.352335661649704,0.32616299390792847
2,8,0.3535845875740051,0.3666069805622101,0.3168015480041504
2,9,0.15756681561470032,0.2528354525566101,0.0845702737569809
2,10,0.16161684691905975,0.1983906328678131,0.22468234598636627
3,4,0.46964961290359497,0.5241341590881348,0.49168872833251953
3,5,0.2229831963777542,0.2645794153213501,0.2664775848388672
3,6,0.5085131525993347,0.3789476752281189,0.40359392762184143
3,7,0.4998741149902344,0.5103193521499634,0.5159291625022888
3,8,0.3100561201572418,0.38986092805862427,0.3800148367881775
3,9,0.20852161943912506,0.3487810790538788,0.21679115295410156
3,10,0.5443916916847229,0.4889072775840759,0.4981730580329895
4,5,0.0044386256486177444,0.12660560011863708,0.07800965011119843
4,6,0.5431230068206787,0.46943214535713196,0.43205612897872925
4,7,0.5435284972190857,0.612895131111145,0.46742138266563416
4,8,0.4141197204589844,0.4900146424770355,0.4219120740890503
4,9,0.07182274758815765,0.26272228360176086,0.10898850858211517
4,10,0.25364911556243896,0.29718419909477234,0.2662779688835144
5,6,0.20267434418201447,0.1844785213470459,0.23295849561691284
5,7,0.19576385617256165,0.13197597861289978,0.26103872060775757
5,8,0.0280741136521101,0.13353168964385986,0.06157127767801285
5,9,0.4515382945537567,0.4652530550956726,0.4526732265949249
5,10,0.2061479091644287,0.23908066749572754,0.35747030377388
6,7,0.47020989656448364,0.3796239197254181,0.32465341687202454
6,8,0.29612335562705994,0.2914426326751709,0.18335789442062378
6,9,0.21916642785072327,0.22261619567871094,0.1795513927936554
6,10,0.3469628691673279,0.34758761525154114,0.23518911004066467
7,8,0.33091574907302856,0.4564264118671417,0.29076188802719116
7,9,0.12847715616226196,0.29544442892074585,0.12954527139663696
7,10,0.35717514157295227,0.3794757127761841,0.46556878089904785
8,9,0.14887212216854095,0.2707616090774536,0.08609659969806671
8,10,0.1260252445936203,0.25563448667526245,0.1697242558002472
9,10,0.20338453352451324,0.27294105291366577,0.2614215314388275
